data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7382755,51,ARM 4994.00,4994,2020-12-12,2020,1,Protests,Peaceful protest,Protesters (Armenia),Veto,6,,,0,60,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,News Am,National,"On 12 December 2020, a group of people organized a protest in front of the Police head office in Yerevan demanding them to join to the protests demanding the Prime Minister's resignation. Among the protesters were the head of Veto movement. The protests in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as surrender of Artsakh. [size=no report]",0,1607963813,ARM
7382764,51,ARM 4993.00,4993,2020-12-12,2020,1,Protests,Peaceful protest,Protesters (Armenia),ARFD: Armenian Revolutionary Federation; Government of Armenia (2018-),6,,,0,60,Caucasus and Central Asia,Armenia,Shirak,Akhuryan,,Gyumri,40.7847,43.8416,1,RFE/RL,International,"On 12 December 2020, members of Armenian Revolutionary Federation, and others blocked the highway in Gyumri (Akhuryan, Shirak, Armenia) demanding the resignation of the Prime Minister. Among the protesters were the head of Marmashen village. The protests in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as the surrender of Artsakh. [size=no report]",0,1607963814,ARM
7382786,51,ARM 4990.00,4990,2020-12-11,2020,1,Protests,Peaceful protest,Protesters (Armenia),,6,,,0,60,Caucasus and Central Asia,Armenia,Shirak,Akhuryan,,Gyumri,40.7847,43.8416,1,Sputnik Armenia,National,"On 11 December 2020, a group of people closed several streets in Gyumri city (Akhuryan, Shirak, Armenia) demanding the resignation of the Prime Minister. The demonstrations in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as the surrender of Artsakh. [size=no report]",0,1607963814,ARM
7382670,51,ARM 4973.00,4973,2020-12-11,2020,1,Protests,Protest with intervention,Protesters (Armenia),ARFD: Armenian Revolutionary Federation; HHK: Republican Party of Armenia; BHK: Prosperous Armenia Party; Homeland Party; Former Government of Armenia (2018-); Government of Armenia (2018-),6,Police Forces of Armenia (2018-),,1,16,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,Sputnik Armenia; Armtimes,National,"On 11 December 2020, opposition Prosperous Armenia, Republican Party of Armenia, Homeland Party, Armenian Revolutionary Federation parties and others organized a protest march in Yerevan demanding the resignation of the Prime Minister. The police detained some of the protesters after they tried to block several streets in Yerevan. Among the protesters were the former head of the National Security Service, former and acting MPs. The protests in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as surrender of Artsakh. [size=no report]",0,1607963813,ARM
7382683,51,ARM 4989.00,4989,2020-12-11,2020,1,Protests,Peaceful protest,Protesters (Armenia),,6,,,0,60,Caucasus and Central Asia,Armenia,Lori,Tumanian,,Alaverdi,41.0812,44.6154,1,A1+,National,"On 11 December 2020, a group of people closed the highway in Alaverdi city demanding the resignation of the Prime Minister. The demonstrations in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as the surrender of Artsakh. [size=no report]",0,1607963813,ARM
7382697,51,ARM 4992.00,4992,2020-12-11,2020,1,Protests,Protest with intervention,Protesters (Armenia),,6,Police Forces of Armenia (2018-),,1,16,Caucasus and Central Asia,Armenia,Gegharkunik,Sevan,,Sevan,40.5484,44.9487,2,Aravot,National,"On 11 December 2020, a group of people closed Yerevan-Sevan highway in Gegharkunik region (coded to Sevan with GP2) demanding the resignation of the Prime Minister. The demonstrations in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as the surrender of Artsakh. Police detained 2 people. [size=no report]",0,1607963813,ARM
7382698,51,ARM 4991.00,4991,2020-12-11,2020,1,Protests,Peaceful protest,Protesters (Armenia),,6,,,0,60,Caucasus and Central Asia,Armenia,Shirak,Artik,,Horom,40.6595,43.8875,1,Aravot,National,"On 11 December 2020, a group of people organized a protest in Horom village in support of the Prime Minister. The protests in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as surrender of Artsakh. [size=no report]",0,1607963813,ARM
7382671,51,ARM 4988.00,4988,2020-12-10,2020,1,Protests,Protest with intervention,Protesters (Armenia),ARFD: Armenian Revolutionary Federation; HHK: Republican Party of Armenia,6,Police Forces of Armenia (2018-),,1,16,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,168 Hours; RFE/RL,National-International,"On 10 December 2020, members of Armenian Republican party, Armenian Revolutionary Federation parties and others organized a protest in front of the government house in Yerevan (Yerevan, Armenia) demanding the resignation of the Prime Minister. The demonstrations in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as the surrender of Artsakh. Police detained 42 people after protesters blocked nearby streets. [size=no report]",0,1607963813,ARM
7382684,51,ARM 4986.00,4986,2020-12-10,2020,1,Protests,Peaceful protest,Protesters (Armenia),Civil Contract,6,,,0,60,Caucasus and Central Asia,Armenia,Shirak,Akhuryan,,Marmashen,40.8360,43.7819,1,A1+,National,"On 10 December 2020, residents of Marmashen and neighboring village (Akhuryan, Shirak, Armenia) organized a protest against the community head's statement demanding the demand of Armenia's prime minister resigned, and expressed support for the Prime Minister (from Civil Contract). [size=no report]",0,1607963813,ARM
